Category,Price,Name,Percentage
American (New),$$,34,56.7
American (New),$$$,19,31.7
American (New),$$$$,7,11.7
Chinese,$,8,38.1
Chinese,$$,11,52.4
Chinese,$$$,1,4.8
Chinese,$$$$,1,4.8
Cocktail Bars,$$,19,86.4
Cocktail Bars,$$$,3,13.6
French,$$,11,50.0
French,$$$,10,45.5
French,$$$$,1,4.5
Italian,$,1,1.6
Italian,$$,35,57.4
Italian,$$$,23,37.7
Italian,$$$$,2,3.3
Japanese,$,1,3.3
Japanese,$$,21,70.0
Japanese,$$$,5,16.7
Japanese,$$$$,3,10.0
Korean,$,1,3.7
Korean,$$,23,85.2
Korean,$$$,2,7.4
Korean,$$$$,1,3.7
Mexican,$$,18,81.8
Mexican,$$$,4,18.2
Seafood,$$,12,66.7
Seafood,$$$,6,33.3
Thai,$$,19,90.5
Thai,$$$,2,9.5
