Category,Count,Price
African,2,$$
American (New),60,$$
American (Traditional),8,$$$
Asian Fusion,5,$$$
Australian,5,$$
Bakeries,2,$$
Barbeque,4,$$
Bars,19,$$
Belgian,1,$
Bookstores,1,$$
Brasseries,1,$$
Brazilian,4,$$
Breakfast & Brunch,18,$$
Buffets,1,$$$$
Burgers,4,$$
Cafes,9,$$
Cajun/Creole,3,$$
Cantonese,1,$$
Caribbean,9,$$
Chicken Shop,4,$$
Chinese,21,$$
Cocktail Bars,22,$$
Coffee & Tea,6,$$
Comfort Food,4,$$
Cuban,4,$$
Delis,1,$$
Desserts,4,$
Dim Sum,12,$$
Diners,4,$$
Ethiopian,1,$$
Fast Food,1,$
Filipino,6,$$
Food Court,1,$$
Food Trucks,1,$
French,22,$$
Gastropubs,3,$$
Georgian,2,$$
Greek,4,$$$
Haitian,1,$$
Halal,1,$$
Himalayan/Nepalese,2,$$
Hong Kong Style Cafe,1,$
Hot Pot,4,$$$
Indian,4,$$
Italian,61,$$
Izakaya,3,$$
Japanese,30,$$
Japanese Curry,1,$$
Jazz & Blues,1,$$
Korean,27,$$
Laotian,1,$$
Latin American,7,$$
Lounges,1,$$
Malaysian,3,$$
Mediterranean,14,$$$
Mexican,22,$$
Middle Eastern,6,$$
Modern European,2,$$
Moroccan,2,$$
Music Venues,1,$$
New Mexican Cuisine,1,$$
Noodles,1,$
Pasta Shops,1,$$
Patisserie/Cake Shop,1,$$
Persian/Iranian,1,$$$
Peruvian,6,$$$
Pizza,16,$$
Pop-Up Restaurants,1,$$
Portuguese,1,$$
Pubs,2,$$
Ramen,14,$$
Restaurants,1,$$
Scandinavian,1,$$$$
Seafood,18,$$
Shanghainese,6,$$
Somali,1,$$
Soul Food,2,$$
Southern,7,$$
Spanish,4,$$
Sushi Bars,10,$$$
Szechuan,5,$$
Tacos,4,$$
Taiwanese,6,$$
Tapas Bars,3,$$
Tapas/Small Plates,7,$$
Tea Rooms,1,$$$
Teppanyaki,1,$
Tex-Mex,1,$$
Thai,21,$$
Turkish,1,$$$
Vegetarian,2,$$
Venues & Event Spaces,1,$$
Vietnamese,16,$$
Wine Bars,11,$$
